Week,County,Sales
2/19/2011,ALBANY      ,56908
2/19/2011,ALLEGANY    ,2496
2/19/2011,BRONX       ,137771
2/19/2011,BROOME      ,16272
2/19/2011,CATTARAUGUS ,5896
2/19/2011,CAYUGA      ,6810
2/19/2011,CHAUTAUQUA  ,9820
2/19/2011,CHEMUNG     ,6323
2/19/2011,CHENANGO    ,4374
2/19/2011,CLINTON     ,8452
2/19/2011,COLUMBIA    ,11989
2/19/2011,CORTLAND    ,3348
2/19/2011,DELAWARE    ,5092
2/19/2011,DUTCHESS    ,43684
2/19/2011,ERIE        ,82110
2/19/2011,ESSEX       ,5509
2/19/2011,FRANKLIN    ,5839
2/19/2011,FULTON      ,12889
2/19/2011,GENESEE     ,4719
2/19/2011,GREENE      ,11741
2/19/2011,HAMILTON    ,1170
2/19/2011,HERKIMER    ,7479
2/19/2011,JEFFERSON   ,11094
2/19/2011,KINGS       ,248458
2/19/2011,LEWIS       ,2605
2/19/2011,LIVINGSTON  ,4994
2/19/2011,MADISON     ,4691
2/19/2011,MONROE      ,70792
2/19/2011,MONTGOMERY  ,14058
2/19/2011,NASSAU      ,213839
2/19/2011,NEW YORK    ,249732
2/19/2011,NIAGARA     ,16909
2/19/2011,ONEIDA      ,22783
2/19/2011,ONONDAGA    ,41436
2/19/2011,ONTARIO     ,9803
2/19/2011,ORANGE      ,53360
2/19/2011,ORLEANS     ,2935
2/19/2011,OSWEGO      ,10873
2/19/2011,OTSEGO      ,7000
2/19/2011,PUTNAM      ,15958
2/19/2011,QUEENS      ,273266
2/19/2011,RENSSELAER  ,37524
2/19/2011,RICHMOND    ,68828
2/19/2011,ROCKLAND    ,44529
2/19/2011,SARATOGA    ,71197
2/19/2011,SCHENECTADY ,238227
2/19/2011,SCHOHARIE   ,4476
2/19/2011,SCHUYLER    ,1332
2/19/2011,SENECA      ,2669
2/19/2011,ST. LAWRENCE,10741
2/19/2011,STEUBEN     ,7471
2/19/2011,SUFFOLK     ,219666
2/19/2011,SULLIVAN    ,10238
2/19/2011,TIOGA       ,3561
2/19/2011,TOMPKINS    ,5762
2/19/2011,ULSTER      ,34988
2/19/2011,WARREN      ,21252
2/19/2011,WASHINGTON  ,13111
2/19/2011,WAYNE       ,7531
2/19/2011,WESTCHESTER ,131866
2/19/2011,WYOMING     ,2932
2/19/2011,YATES       ,1322
2/26/2011,ALBANY      ,31519
2/26/2011,ALLEGANY    ,2591
2/26/2011,BRONX       ,137694
2/26/2011,BROOME      ,16178
2/26/2011,CATTARAUGUS ,5672
2/26/2011,CAYUGA      ,6944
2/26/2011,CHAUTAUQUA  ,9666
2/26/2011,CHEMUNG     ,6179
2/26/2011,CHENANGO    ,3520
